,Descubrir,Lenguaje,Técnica,Resolucion,Píxeles,Ciclos
242,Descubrir,c,normal,576,331776,17855072.0
243,Descubrir,c,normal,576,331776,18132348.0
244,Descubrir,c,normal,576,331776,17885520.0
245,Descubrir,c,normal,576,331776,18532364.0
246,Descubrir,c,normal,576,331776,18091632.0
247,Descubrir,c,normal,576,331776,18155188.0
248,Descubrir,c,normal,576,331776,24760948.0
249,Descubrir,c,normal,576,331776,18005524.0
250,Descubrir,c,normal,576,331776,18044312.0
251,Descubrir,c,normal,576,331776,18206788.0
252,Descubrir,c,normal,576,331776,17885484.0
253,Descubrir,c,normal,576,331776,17761236.0
254,Descubrir,c,normal,576,331776,42179320.0
255,Descubrir,c,normal,576,331776,23269084.0
256,Descubrir,c,normal,576,331776,18060440.0
257,Descubrir,c,normal,576,331776,18630386.0
258,Descubrir,c,normal,576,331776,18251720.0
259,Descubrir,c,normal,576,331776,18575604.0
260,Descubrir,c,normal,576,331776,55282032.0
261,Descubrir,c,normal,576,331776,18670808.0
262,Descubrir,c,normal,576,331776,17781976.0
263,Descubrir,c,normal,576,331776,17943098.0
264,Descubrir,c,normal,576,331776,18259688.0
265,Descubrir,c,normal,576,331776,18042504.0
266,Descubrir,c,normal,576,331776,18041276.0
267,Descubrir,c,normal,576,331776,19823256.0
268,Descubrir,c,normal,576,331776,18787026.0
269,Descubrir,c,normal,576,331776,18247284.0
270,Descubrir,c,normal,640,409600,23711760.0
271,Descubrir,c,normal,640,409600,22470882.0
272,Descubrir,c,normal,640,409600,22917422.0
273,Descubrir,c,normal,640,409600,36530640.0
274,Descubrir,c,normal,640,409600,22150060.0
275,Descubrir,c,normal,640,409600,22099892.0
276,Descubrir,c,normal,640,409600,22112264.0
277,Descubrir,c,normal,640,409600,22001576.0
278,Descubrir,c,normal,640,409600,22277476.0
279,Descubrir,c,normal,640,409600,60020568.0
280,Descubrir,c,normal,640,409600,42935992.0
281,Descubrir,c,normal,640,409600,22600588.0
282,Descubrir,c,normal,640,409600,21893684.0
283,Descubrir,c,normal,640,409600,22087350.0
