,Ocultar,Lenguaje,Técnica,Resolucion,Píxeles,Ciclos
237,Ocultar,c,normal,512,262144,46289708.0
238,Ocultar,c,normal,512,262144,19414080.0
239,Ocultar,c,normal,512,262144,17249080.0
240,Ocultar,c,normal,576,331776,22028834.0
241,Ocultar,c,normal,576,331776,31479378.0
242,Ocultar,c,normal,576,331776,21600548.0
243,Ocultar,c,normal,576,331776,28517702.0
244,Ocultar,c,normal,576,331776,22442128.0
245,Ocultar,c,normal,576,331776,21269696.0
246,Ocultar,c,normal,576,331776,28965506.0
247,Ocultar,c,normal,576,331776,43249924.0
248,Ocultar,c,normal,576,331776,22459100.0
249,Ocultar,c,normal,576,331776,21825988.0
250,Ocultar,c,normal,576,331776,21477478.0
251,Ocultar,c,normal,576,331776,27150868.0
252,Ocultar,c,normal,576,331776,27848886.0
253,Ocultar,c,normal,576,331776,27952280.0
254,Ocultar,c,normal,576,331776,63690576.0
255,Ocultar,c,normal,576,331776,70317376.0
256,Ocultar,c,normal,576,331776,63920188.0
257,Ocultar,c,normal,576,331776,48283576.0
258,Ocultar,c,normal,576,331776,27781922.0
259,Ocultar,c,normal,576,331776,29304774.0
260,Ocultar,c,normal,576,331776,28347332.0
261,Ocultar,c,normal,576,331776,40238200.0
262,Ocultar,c,normal,576,331776,50168712.0
263,Ocultar,c,normal,576,331776,30462304.0
264,Ocultar,c,normal,576,331776,23660364.0
265,Ocultar,c,normal,576,331776,29113450.0
266,Ocultar,c,normal,576,331776,21693332.0
267,Ocultar,c,normal,576,331776,46051280.0
268,Ocultar,c,normal,576,331776,53944332.0
269,Ocultar,c,normal,576,331776,51247136.0
270,Ocultar,c,normal,640,409600,61028028.0
271,Ocultar,c,normal,640,409600,26692590.0
272,Ocultar,c,normal,640,409600,32485620.0
273,Ocultar,c,normal,640,409600,26705682.0
274,Ocultar,c,normal,640,409600,26700068.0
275,Ocultar,c,normal,640,409600,29683552.0
276,Ocultar,c,normal,640,409600,34957184.0
277,Ocultar,c,normal,640,409600,26632684.0
278,Ocultar,c,normal,640,409600,30412352.0
279,Ocultar,c,normal,640,409600,33754560.0
280,Ocultar,c,normal,640,409600,30115872.0
281,Ocultar,c,normal,640,409600,27074668.0
282,Ocultar,c,normal,640,409600,26541316.0
283,Ocultar,c,normal,640,409600,26191172.0
284,Ocultar,c,normal,640,409600,64710652.0
285,Ocultar,c,normal,640,409600,88828080.0
286,Ocultar,c,normal,640,409600,63625920.0
287,Ocultar,c,normal,640,409600,33781072.0
288,Ocultar,c,normal,640,409600,26482832.0
289,Ocultar,c,normal,640,409600,27968272.0
290,Ocultar,c,normal,640,409600,47315320.0
291,Ocultar,c,normal,640,409600,31193592.0
292,Ocultar,c,normal,640,409600,27946408.0
293,Ocultar,c,normal,640,409600,37150332.0
294,Ocultar,c,normal,640,409600,33397720.0
295,Ocultar,c,normal,640,409600,30362976.0
296,Ocultar,c,normal,640,409600,35742916.0
297,Ocultar,c,normal,640,409600,63697976.0
298,Ocultar,c,normal,640,409600,54938248.0
299,Ocultar,c,normal,640,409600,29727724.0
300,Ocultar,c,normal,704,495616,35847888.0
301,Ocultar,c,normal,704,495616,38287480.0
302,Ocultar,c,normal,704,495616,33418602.0
303,Ocultar,c,normal,704,495616,73168576.0
304,Ocultar,c,normal,704,495616,75273992.0
305,Ocultar,c,normal,704,495616,33115026.0
306,Ocultar,c,normal,704,495616,40153024.0
307,Ocultar,c,normal,704,495616,38489956.0
308,Ocultar,c,normal,704,495616,31943904.0
309,Ocultar,c,normal,704,495616,64930680.0
310,Ocultar,c,normal,704,495616,31753612.0
311,Ocultar,c,normal,704,495616,46829264.0
312,Ocultar,c,normal,704,495616,32340702.0
313,Ocultar,c,normal,704,495616,31813500.0
314,Ocultar,c,normal,704,495616,33652848.0
315,Ocultar,c,normal,704,495616,43033928.0
316,Ocultar,c,normal,704,495616,31970244.0
317,Ocultar,c,normal,704,495616,38328536.0
318,Ocultar,c,normal,704,495616,32083934.0
319,Ocultar,c,normal,704,495616,37475240.0
320,Ocultar,c,normal,704,495616,32635788.0
321,Ocultar,c,normal,704,495616,78124520.0
322,Ocultar,c,normal,704,495616,63675916.0
323,Ocultar,c,normal,704,495616,65335448.0
324,Ocultar,c,normal,704,495616,58825872.0
325,Ocultar,c,normal,704,495616,69556832.0
326,Ocultar,c,normal,704,495616,77134008.0
327,Ocultar,c,normal,704,495616,42615600.0
328,Ocultar,c,normal,704,495616,37337832.0
329,Ocultar,c,normal,704,495616,71235896.0
330,Ocultar,c,normal,768,589824,38816304.0
331,Ocultar,c,normal,768,589824,38301868.0
332,Ocultar,c,normal,768,589824,55596720.0
333,Ocultar,c,normal,768,589824,38233192.0
334,Ocultar,c,normal,768,589824,45615084.0
335,Ocultar,c,normal,768,589824,40853136.0
336,Ocultar,c,normal,768,589824,39547340.0
337,Ocultar,c,normal,768,589824,100820648.0
338,Ocultar,c,normal,768,589824,48093448.0
339,Ocultar,c,normal,768,589824,38644420.0
340,Ocultar,c,normal,768,589824,71327480.0
341,Ocultar,c,normal,768,589824,62719052.0
342,Ocultar,c,normal,768,589824,37943360.0
343,Ocultar,c,normal,768,589824,38933056.0
344,Ocultar,c,normal,768,589824,40699048.0
345,Ocultar,c,normal,768,589824,99537880.0
346,Ocultar,c,normal,768,589824,137556688.0
347,Ocultar,c,normal,768,589824,37637984.0
348,Ocultar,c,normal,768,589824,38297136.0
349,Ocultar,c,normal,768,589824,41517292.0
350,Ocultar,c,normal,768,589824,39096864.0
351,Ocultar,c,normal,768,589824,38121300.0
352,Ocultar,c,normal,768,589824,38440028.0
353,Ocultar,c,normal,768,589824,38312200.0
354,Ocultar,c,normal,768,589824,51295896.0
355,Ocultar,c,normal,768,589824,71988472.0
356,Ocultar,c,normal,768,589824,94826904.0
357,Ocultar,c,normal,768,589824,38770188.0
358,Ocultar,c,normal,768,589824,39023092.0
359,Ocultar,c,normal,768,589824,38897548.0
360,Ocultar,c,normal,832,692224,47883992.0
361,Ocultar,c,normal,832,692224,46253080.0
362,Ocultar,c,normal,832,692224,48175528.0
