,Zigzag,Lenguaje,Técnica,Resolucion,Píxeles,Ciclos
339,Zigzag,asm,normal,768,589824,3753314.0
340,Zigzag,asm,normal,768,589824,3902998.0
341,Zigzag,asm,normal,768,589824,3635038.0
342,Zigzag,asm,normal,768,589824,4359193.0
343,Zigzag,asm,normal,768,589824,3718498.0
344,Zigzag,asm,normal,768,589824,4188098.0
345,Zigzag,asm,normal,768,589824,17739534.0
346,Zigzag,asm,normal,768,589824,3700480.0
347,Zigzag,asm,normal,768,589824,3986878.0
348,Zigzag,asm,normal,768,589824,3686953.0
349,Zigzag,asm,normal,768,589824,4251360.0
350,Zigzag,asm,normal,768,589824,4723833.0
351,Zigzag,asm,normal,768,589824,3767844.0
352,Zigzag,asm,normal,768,589824,4482261.0
353,Zigzag,asm,normal,768,589824,4110475.0
354,Zigzag,asm,normal,768,589824,3700304.0
355,Zigzag,asm,normal,768,589824,3861116.0
356,Zigzag,asm,normal,768,589824,3990533.0
357,Zigzag,asm,normal,768,589824,4226069.0
358,Zigzag,asm,normal,768,589824,3960355.0
359,Zigzag,asm,normal,768,589824,3724006.0
360,Zigzag,asm,normal,832,692224,4560068.0
361,Zigzag,asm,normal,832,692224,5244289.0
362,Zigzag,asm,normal,832,692224,4570440.0
363,Zigzag,asm,normal,832,692224,32447076.0
364,Zigzag,asm,normal,832,692224,4485290.0
365,Zigzag,asm,normal,832,692224,4373701.0
366,Zigzag,asm,normal,832,692224,4458345.0
367,Zigzag,asm,normal,832,692224,4409732.0
368,Zigzag,asm,normal,832,692224,5031966.0
369,Zigzag,asm,normal,832,692224,4286907.0
370,Zigzag,asm,normal,832,692224,4930908.0
371,Zigzag,asm,normal,832,692224,4406619.0
372,Zigzag,asm,normal,832,692224,4271689.0
373,Zigzag,asm,normal,832,692224,4266516.0
374,Zigzag,asm,normal,832,692224,4284253.0
375,Zigzag,asm,normal,832,692224,4562199.0
376,Zigzag,asm,normal,832,692224,4396218.0
377,Zigzag,asm,normal,832,692224,4594974.0
378,Zigzag,asm,normal,832,692224,4701233.0
379,Zigzag,asm,normal,832,692224,9359941.0
380,Zigzag,asm,normal,832,692224,4372066.0
381,Zigzag,asm,normal,832,692224,6667024.0
382,Zigzag,asm,normal,832,692224,4640846.0
383,Zigzag,asm,normal,832,692224,4534817.0
384,Zigzag,asm,normal,832,692224,4357231.0
385,Zigzag,asm,normal,832,692224,4766057.0
386,Zigzag,asm,normal,832,692224,4925211.0
387,Zigzag,asm,normal,832,692224,4472595.0
388,Zigzag,asm,normal,832,692224,4382048.0
389,Zigzag,asm,normal,832,692224,4572340.0
390,Zigzag,asm,normal,896,802816,5224237.0
391,Zigzag,asm,normal,896,802816,5718255.0
392,Zigzag,asm,normal,896,802816,4970620.0
393,Zigzag,asm,normal,896,802816,7286516.0
394,Zigzag,asm,normal,896,802816,5074778.0
395,Zigzag,asm,normal,896,802816,5181912.0
396,Zigzag,asm,normal,896,802816,19137488.0
397,Zigzag,asm,normal,896,802816,5161621.0
398,Zigzag,asm,normal,896,802816,5349155.0
399,Zigzag,asm,normal,896,802816,4968159.0
400,Zigzag,asm,normal,896,802816,5420496.0
401,Zigzag,asm,normal,896,802816,5420456.0
402,Zigzag,asm,normal,896,802816,5188645.0
403,Zigzag,asm,normal,896,802816,5500865.0
404,Zigzag,asm,normal,896,802816,12191855.0
405,Zigzag,asm,normal,896,802816,5259474.0
406,Zigzag,asm,normal,896,802816,4967432.0
407,Zigzag,asm,normal,896,802816,5172165.0
408,Zigzag,asm,normal,896,802816,6588993.0
409,Zigzag,asm,normal,896,802816,5284712.0
410,Zigzag,asm,normal,896,802816,12934467.0
411,Zigzag,asm,normal,896,802816,5736795.0
412,Zigzag,asm,normal,896,802816,5218564.0
413,Zigzag,asm,normal,896,802816,5322538.0
414,Zigzag,asm,normal,896,802816,5297537.0
415,Zigzag,asm,normal,896,802816,5167090.0
416,Zigzag,asm,normal,896,802816,5134294.0
417,Zigzag,asm,normal,896,802816,4933180.0
418,Zigzag,asm,normal,896,802816,5272108.0
419,Zigzag,asm,normal,896,802816,5353822.0
420,Zigzag,asm,normal,960,921600,6043415.0
421,Zigzag,asm,normal,960,921600,6127624.0
422,Zigzag,asm,normal,960,921600,6289440.0
423,Zigzag,asm,normal,960,921600,20519024.0
424,Zigzag,asm,normal,960,921600,5811823.0
425,Zigzag,asm,normal,960,921600,5901388.0
426,Zigzag,asm,normal,960,921600,12694953.0
427,Zigzag,asm,normal,960,921600,5831289.0
428,Zigzag,asm,normal,960,921600,5681117.0
429,Zigzag,asm,normal,960,921600,6208854.0
430,Zigzag,asm,normal,960,921600,6720304.0
431,Zigzag,asm,normal,960,921600,5850296.0
432,Zigzag,asm,normal,960,921600,6817072.0
433,Zigzag,asm,normal,960,921600,5931184.0
434,Zigzag,asm,normal,960,921600,5951689.0
435,Zigzag,asm,normal,960,921600,6185987.0
436,Zigzag,asm,normal,960,921600,32374328.0
437,Zigzag,asm,normal,960,921600,5925136.0
438,Zigzag,asm,normal,960,921600,6028739.0
439,Zigzag,asm,normal,960,921600,7909330.0
440,Zigzag,asm,normal,960,921600,6132196.0
441,Zigzag,asm,normal,960,921600,6267684.0
442,Zigzag,asm,normal,960,921600,6123968.0
443,Zigzag,asm,normal,960,921600,6769444.0
444,Zigzag,asm,normal,960,921600,6172194.0
445,Zigzag,asm,normal,960,921600,20270416.0
446,Zigzag,asm,normal,960,921600,6757343.0
447,Zigzag,asm,normal,960,921600,6387880.0
448,Zigzag,asm,normal,960,921600,5794005.0
449,Zigzag,asm,normal,960,921600,6897094.0
450,Zigzag,asm,normal,1024,1048576,7479448.0
451,Zigzag,asm,normal,1024,1048576,7153413.0
452,Zigzag,asm,normal,1024,1048576,9238924.0
453,Zigzag,asm,normal,1024,1048576,7149627.0
454,Zigzag,asm,normal,1024,1048576,7358406.0
455,Zigzag,asm,normal,1024,1048576,32974524.0
456,Zigzag,asm,normal,1024,1048576,7709728.0
457,Zigzag,asm,normal,1024,1048576,7458542.0
